STATE,COUNTY,POPESTIMATE2017
28,139,21969
28,141,19542
28,143,10024
28,145,28556
28,147,14499
28,149,46768
28,151,46221
28,153,20446
28,155,9765
28,157,8804
28,159,18246
28,161,12497
28,163,27057
29,1,25377
29,3,17555
29,5,5275
29,7,25641
29,9,35668
29,11,11850
29,13,16334
29,15,19074
29,17,12306
29,19,178271
29,21,89065
29,23,42666
29,25,9100
29,27,45032
29,29,45632
29,31,78161
29,33,8796
29,35,6169
29,37,103724
29,39,14073
29,41,7480
29,43,85432
29,45,6723
29,47,242874
29,49,20554
29,51,76708
29,53,17644
29,55,24102
29,57,7588
29,59,16673
29,61,8361
29,63,12588
29,65,15480
29,67,13300
29,69,30119
29,71,103330
29,73,14726
29,75,6665
29,77,289805
29,79,9949
29,81,8524
29,83,21718
29,85,9475
29,87,4413
29,89,10139
29,91,40103
29,93,10226
29,95,698895
29,97,120217
29,99,223810
29,101,53897
29,103,3977
29,105,35443
29,107,32641
29,109,38434
29,111,9967
29,113,56183
29,115,12194
29,117,15173
29,119,22828
29,121,15251
29,123,12243
29,125,8867
29,127,28634
29,129,3678
29,131,25228
29,133,13586
29,135,16063
29,137,8612
29,139,11438
29,141,20145
29,143,17582
29,145,58290
29,147,22472
29,149,10558
29,151,13662
29,153,9186
29,155,16826
29,157,19225
29,159,42558
29,161,44744
29,163,18567
29,165,101187
29,167,31794
29,169,52059
29,171,4811
29,173,10224
29,175,24945
29,177,22855
29,179,6275
29,181,13564
29,183,395504
29,185,9362
29,186,17843
29,187,66705
29,189,996726
29,195,22660
29,197,4508
29,199,4963
29,201,38541
29,203,8249
29,205,6021
29,207,29369
29,209,31699
29,211,6229
29,213,55355
29,215,25735
29,217,20437
29,219,34373
29,221,25022
29,223,13296
29,225,38665
29,227,2057
29,229,18331
29,510,30862630,1,9434
30,3,13360
30,5,6708
30,7,5936
30,9,10696
30,11,1222
30,13,81654
30,15,5765
30,17,11721
30,19,1737
30,21,8950
30,23,9106
30,25,3009
30,27,11291
30,29,100000
30,31,107810
30,33,1293
30,35,13640
30,37,822
30,39,3358
30,41,16463
30,43,11891
30,45,1961
30,47,30273
30,49,67773
30,51,2427
30,53,19440
30,55,1718
30,57,8175
30,59,1851
30,61,4255
30,63,117441
30,65,4639
30,67,16353
30,69,523
30,71,4119
30,73,5960
30,75,1752
30,77,6795
30,79,1109
30,81,42563
30,83,11039
30,85,11098
30,87,9248
30,89,11711
30,91,3469
30,93,34602
30,95,9419
30,97,3691
30,99,6085
